filemname	vertexCount	edgeCount	orthogonalWidth	orthogonalHeight	orthogonalComplexity	orthogonalCompressedWidth	orthogonalCompressedHeight	orthogonalCompressedComplexity	smoothWidth	smoothHeight	smoothComplexity	smoothCheapAdjWidth	smoothCheapAdjHeight	smoothCheapAdjComplexity	smoothAllAdjWidth	smoothAllAdjHeight	smoothAllAdjComplexity
grafo1457	24	27	4	23	135	4	17	135	4	17	30	4	17	30	28	17	30	
grafo147	29	34	6	28	170	6	23	170	6	23	40	6	23	40	23	23	40	
grafo1485	23	27	5	23	135	5	13	135	10	14	31	10	14	31	12	15	31	
grafo1503	22	30	9	21	150	9	18	150	13	18	40	13	18	40	56	19	37	
grafo156	21	26	6	20	130	5	15	130	12	15	32	12	15	32	18	15	31	
grafo1614	14	16	3	13	80	3	11	80	8	11	18	8	11	18	9	11	18	
grafo1616	17	22	6	16	110	5	13	110	5	13	29	5	13	29	26	13	28	
grafo1620	14	17	4	13	85	4	11	85	4	11	20	4	11	20	12	11	20	
grafo1633	17	20	4	16	100	4	14	100	4	14	24	4	14	24	17	14	23	
grafo1634	17	20	4	17	100	4	10	100	8	11	24	8	11	24	13	13	24	
grafo1642	18	21	4	17	105	4	16	105	4	16	25	4	16	25	16	16	25	
grafo1643	10	12	3	9	60	3	9	60	3	9	15	3	9	15	9	9	14	
grafo1653	18	22	5	18	110	5	15	110	11	16	27	11	16	27	17	18	27	
grafo1655	26	33	8	26	165	6	19	165	7	21	38	7	21	38	8	21	38	
grafo1658	14	17	4	13	85	4	10	85	10	10	20	10	10	20	12	10	20	
grafo1660	19	25	7	18	125	7	13	125	11	13	36	11	13	36	30	16	34	
grafo1665	17	19	3	16	95	3	12	95	3	12	21	3	12	21	13	12	21	
grafo167	22	28	7	21	140	6	18	140	9	18	34	9	18	34	29	18	33	
grafo1670	16	21	6	15	105	6	13	105	-1	-1	-1	8	13	27	16	13	26	
grafo1671	17	20	4	16	100	4	14	100	4	14	25	4	14	25	19	14	24	
grafo1676	20	25	6	20	125	3	16	125	10	16	27	10	16	27	10	16	27	
grafo1689	31	38	8	31	190	7	21	190	11	23	45	11	23	45	17	26	43	
grafo1692	16	19	4	15	95	4	13	95	9	13	22	9	13	22	19	13	22	
grafo1694	32	41	10	33	205	9	23	205	54	46	50	54	46	50	54	54	49	
grafo1695	15	20	6	14	100	6	12	100	9	12	24	9	12	24	18	12	23	
grafo1703	18	23	6	17	115	5	11	115	5	11	28	5	11	28	16	11	26	
grafo1713	19	21	3	19	105	3	15	105	9	15	24	9	15	24	15	18	24	
grafo1717	14	17	4	13	85	4	11	85	7	11	22	7	11	22	16	11	21	
grafo1724	19	24	6	18	120	6	12	120	11	12	31	11	12	31	15	12	30	
grafo173	26	33	8	26	165	8	13	165	8	15	42	8	15	42	12	16	41	
grafo1731	16	21	6	15	105	5	14	105	7	14	26	7	14	26	18	15	26	
grafo174	27	32	6	26	160	5	17	160	13	17	37	13	17	37	20	17	37	
grafo1741	16	19	4	15	95	4	12	95	4	12	24	4	12	24	12	12	24	
grafo1748	16	19	4	15	95	3	13	95	3	13	22	3	13	22	17	13	22	
grafo1751	17	22	6	16	110	5	12	110	5	12	27	5	12	27	16	12	26	
grafo1756	16	21	6	15	105	6	13	105	-1	-1	-1	8	13	27	16	13	26	
grafo1769	16	21	6	15	105	6	13	105	-1	-1	-1	8	13	27	16	13	26	
grafo177	11	13	3	10	65	3	9	65	7	9	16	7	9	16	9	9	16	
grafo1787	16	19	4	15	95	4	12	95	5	12	21	5	12	21	14	12	21	
grafo1790	16	20	5	15	100	5	15	100	5	15	25	5	15	25	15	15	25	
grafo1799	26	33	8	26	165	7	21	165	-1	-1	-1	22	25	41	33	25	41	
grafo1808	15	17	3	14	85	3	13	85	3	13	20	3	13	20	14	14	20	
grafo1809	17	20	4	17	100	4	9	100	7	10	24	7	10	24	8	10	24	
grafo1812	19	24	6	19	120	5	16	120	5	17	29	5	17	29	16	21	28	
grafo1815	34	40	7	33	200	7	24	200	7	24	49	7	24	49	24	24	46	
