filemname	vertexCount	edgeCount	orthogonalWidth	orthogonalHeight	orthogonalComplexity	orthogonalCompressedWidth	orthogonalCompressedHeight	orthogonalCompressedComplexity	smoothWidth	smoothHeight	smoothComplexity	smoothCheapAdjWidth	smoothCheapAdjHeight	smoothCheapAdjComplexity	smoothAllAdjWidth	smoothAllAdjHeight	smoothAllAdjComplexity
grafo603	26	31	6	25	155	5	18	155	5	18	35	5	18	35	18	18	35	
grafo604	12	13	2	11	65	2	8	65	5	8	15	5	8	15	7	8	15	
grafo6040	34	39	6	33	195	6	30	195	20	30	46	20	30	46	68	30	45	
grafo6047	32	37	6	31	185	6	21	185	6	21	44	6	21	44	30	30	43	
grafo6050	34	43	10	33	215	9	19	215	-1	-1	-1	16	20	55	27	22	53	
grafo6066	36	43	8	36	215	8	30	215	-1	-1	-1	59	58	51	61	60	50	
grafo608	13	15	3	12	75	3	11	75	4	11	17	4	11	17	13	11	17	
grafo609	12	14	3	11	70	3	11	70	3	11	17	3	11	17	12	12	17	
grafo611	12	14	3	11	70	3	10	70	3	10	16	3	10	16	12	12	16	
grafo6113	35	43	9	34	215	9	24	215	30	24	55	32	24	55	35	24	54	
grafo612	11	13	3	11	65	3	10	65	3	10	15	3	10	15	9	13	15	
grafo620	27	32	6	26	160	5	18	160	5	18	37	5	18	37	21	18	37	
grafo623	13	15	3	12	75	3	9	75	7	9	17	7	9	17	8	9	17	
grafo625	14	17	4	13	85	4	10	85	4	10	22	4	10	22	12	10	21	
grafo631	16	20	5	15	100	4	12	100	4	12	24	4	12	24	16	12	24	
grafo6311	37	46	10	36	230	9	25	230	-1	-1	-1	17	25	58	30	26	57	
grafo6365	34	42	9	34	210	8	23	210	8	24	52	8	24	52	38	30	50	
grafo637	13	14	2	12	70	2	12	70	2	12	16	2	12	16	12	12	16	
grafo640	16	20	5	15	100	4	9	100	4	9	24	4	9	24	14	9	24	
grafo642	14	17	4	13	85	4	13	85	-1	-1	-1	7	13	22	15	15	21	
grafo644	14	18	5	13	90	5	10	90	8	10	23	8	10	23	13	10	23	
grafo645	17	22	6	16	110	6	15	110	8	15	27	8	15	27	19	15	26	
grafo6491	51	63	13	50	315	13	42	315	33	42	78	33	42	78	90	45	77	
grafo650	12	13	2	11	65	2	10	65	2	10	14	2	10	14	10	10	14	
grafo652	14	16	3	13	80	3	10	80	3	10	19	3	10	19	13	10	19	
grafo653	12	14	3	11	70	3	10	70	3	10	17	3	10	17	10	10	17	
grafo661	16	19	4	16	95	4	11	95	4	11	24	4	11	24	14	15	23	
grafo662	14	18	5	13	90	5	11	90	5	11	23	5	11	23	12	12	23	
grafo663	19	23	5	18	115	4	17	115	4	17	29	4	17	29	31	17	27	
grafo665	13	15	3	12	75	3	11	75	6	11	18	6	11	18	15	11	18	
grafo666	12	16	5	12	80	5	8	80	7	9	21	7	9	21	8	10	21	
grafo667	12	15	4	12	75	4	9	75	4	9	21	4	9	21	10	10	19	
grafo669	12	16	5	13	80	5	11	80	21	19	21	21	19	21	21	19	21	
grafo670	15	19	5	14	95	4	12	95	6	12	24	6	12	24	18	12	22	
grafo671	13	17	5	12	85	5	11	85	10	11	20	10	11	20	17	11	20	
grafo6734	38	46	9	37	230	8	27	230	8	27	55	8	27	55	34	27	57	
grafo674	15	19	5	14	95	5	8	95	-1	-1	-1	9	8	24	14	8	22	
grafo675	11	13	3	10	65	2	9	65	2	9	14	2	9	14	9	9	14	
grafo676	11	12	2	10	60	2	8	60	5	8	13	5	8	13	5	8	13	
grafo6808	39	50	12	38	250	11	23	250	-1	-1	-1	28	23	63	34	23	62	
grafo685	11	13	3	10	65	3	9	65	3	9	15	3	9	15	9	9	15	
grafo691	12	14	3	11	70	3	10	70	-1	-1	-1	4	10	16	11	10	15	
grafo699	14	16	3	13	80	3	10	80	7	10	18	7	10	18	8	10	18	
grafo700	14	16	3	13	80	3	10	80	3	10	19	3	10	19	13	10	19	
grafo702	12	15	4	11	75	4	11	75	4	11	18	4	11	18	16	11	18	
grafo704	17	22	6	16	110	6	11	110	6	11	29	6	11	29	22	11	28	
grafo7046	48	60	13	47	300	12	33	300	12	33	74	12	33	74	45	33	71	
grafo707	15	18	4	14	90	3	12	90	3	12	23	3	12	23	21	12	21	
grafo7119	42	51	10	41	255	8	33	255	13	33	62	13	33	62	46	33	59	
grafo713	12	14	3	11	70	3	8	70	6	8	16	6	8	16	9	8	16	
grafo714	13	17	5	12	85	5	11	85	8	11	22	8	11	22	15	11	21	
grafo716	13	15	3	12	75	2	8	75	2	8	16	2	8	16	9	8	16	
grafo719	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo720	14	18	5	13	90	4	10	90	4	10	22	4	10	22	17	10	21	
grafo724	18	23	6	18	115	6	13	115	6	15	30	6	15	30	20	17	29	
grafo725	15	17	3	14	85	3	14	85	3	14	20	3	14	20	14	14	20	
grafo726	14	17	4	13	85	4	13	85	-1	-1	-1	7	13	22	19	19	21	
grafo729	15	17	3	14	85	2	12	85	2	12	18	2	12	18	12	12	18	
grafo730	12	15	4	12	75	4	10	75	8	10	19	8	10	19	16	13	18	
grafo731	14	17	4	13	85	4	13	85	4	13	21	4	13	21	13	13	21	
grafo735	15	17	3	14	85	3	13	85	3	13	20	3	13	20	13	13	20	
grafo736	13	15	3	12	75	3	12	75	3	12	18	3	12	18	13	13	18	
grafo7365	45	56	12	44	280	11	35	280	-1	-1	-1	36	35	70	57	39	68	
grafo737	14	17	4	13	85	4	10	85	-1	-1	-1	7	10	22	12	12	21	
grafo738	12	16	5	11	80	4	8	80	5	8	19	5	8	19	11	8	18	
grafo739	15	19	5	14	95	5	11	95	10	11	24	10	11	24	16	11	22	
grafo740	11	13	3	10	65	3	10	65	4	10	16	4	10	16	12	10	16	
grafo741	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo7437	44	58	15	43	290	14	27	290	14	27	75	14	27	75	50	27	74	
grafo746	13	16	4	13	80	4	11	80	8	11	19	8	11	19	11	13	19	
grafo747	12	15	4	11	75	4	10	75	9	10	17	9	10	17	12	10	17	
grafo748	11	13	3	10	65	3	9	65	5	9	15	5	9	15	12	9	15	
grafo749	11	13	3	10	65	3	8	65	3	8	15	3	8	15	8	8	14	
grafo750	12	14	3	11	70	3	11	70	3	11	17	3	11	17	11	11	17	
grafo751	11	13	3	10	65	3	9	65	3	9	16	3	9	16	9	9	16	
grafo753	26	32	7	26	160	6	16	160	13	17	39	13	17	39	17	18	38	
grafo755	20	24	5	19	120	5	16	120	5	16	29	5	16	29	18	16	29	
grafo756	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo760	13	15	3	12	75	3	11	75	3	11	17	3	11	17	11	11	17	
grafo761	13	16	4	13	80	4	12	80	9	12	20	9	12	20	13	13	20	
grafo766	12	14	3	12	70	3	10	70	7	10	16	7	10	16	7	10	16	
grafo767	22	26	5	21	130	4	19	130	4	19	29	4	19	29	19	19	29	
grafo769	14	16	3	13	80	3	10	80	3	10	20	3	10	20	14	10	19	
grafo770	12	14	3	11	70	3	10	70	3	10	16	3	10	16	12	12	16	
grafo771	19	22	4	19	110	4	13	110	25	24	26	25	24	26	25	24	25	
grafo772	11	14	4	10	70	3	8	70	6	8	16	6	8	16	8	8	16	
grafo773	12	15	4	11	75	3	10	75	7	10	18	7	10	18	9	10	18	
grafo774	17	22	6	17	110	6	12	110	11	14	31	11	14	31	24	20	29	
grafo778	15	19	5	14	95	5	10	95	5	10	24	5	10	24	16	10	24	
grafo779	13	17	5	12	85	5	12	85	5	12	25	5	12	25	25	13	23	
grafo781	12	14	3	11	70	3	10	70	3	10	16	3	10	16	12	12	16	
grafo783	15	21	7	15	105	5	11	105	-1	-1	-1	8	13	28	11	13	27	
grafo785	16	19	4	15	95	4	14	95	10	14	24	10	14	24	21	14	23	
grafo790	17	21	5	17	105	5	15	105	5	16	25	5	16	25	13	20	26	
grafo791	13	17	5	13	85	5	12	85	24	22	22	24	22	22	25	22	22	
grafo792	13	16	4	13	80	4	11	80	22	20	20	22	20	20	28	20	20	
grafo793	13	16	4	12	80	4	9	80	4	9	21	4	9	21	13	9	21	
grafo797	14	17	4	13	85	3	10	85	3	10	19	3	10	19	12	10	19	
grafo803	15	20	6	15	100	5	12	100	-1	-1	-1	8	15	25	13	16	25	
grafo804	21	25	5	20	125	5	18	125	12	18	28	12	18	28	18	18	28	
grafo806	15	19	5	14	95	5	9	95	9	9	23	9	9	23	11	9	22	
grafo807	12	14	3	11	70	3	10	70	3	10	17	3	10	17	10	10	17	
grafo808	12	14	3	11	70	3	11	70	3	11	17	3	11	17	11	11	17	
grafo809	15	18	4	14	90	4	11	90	4	11	22	4	11	22	13	11	22	
grafo810	16	19	4	15	95	4	15	95	4	15	23	4	15	23	15	15	23	
grafo814	14	16	3	13	80	3	13	80	3	13	18	3	13	18	14	13	18	
grafo815	15	17	3	14	85	3	11	85	3	11	20	3	11	20	17	11	19	
grafo816	17	22	6	16	110	6	16	110	-1	-1	-1	14	16	28	24	16	27	
grafo817	18	21	4	17	105	4	16	105	4	16	25	4	16	25	18	18	25	
grafo822	11	14	4	10	70	4	10	70	5	10	17	5	10	17	12	10	17	
grafo823	16	19	4	15	95	3	10	95	3	10	21	3	10	21	14	10	21	
grafo824	12	15	4	11	75	4	9	75	4	9	18	4	9	18	10	9	18	
grafo825	15	19	5	14	95	3	12	95	-1	-1	-1	6	12	23	12	12	22	
grafo826	22	25	4	21	125	4	15	125	11	15	27	11	15	27	11	15	27	
grafo827	12	15	4	11	75	4	8	75	7	8	18	7	8	18	8	8	18	
grafo828	22	27	6	21	135	6	19	135	15	19	31	15	19	31	23	19	31	
grafo830	27	32	6	27	160	6	15	160	34	28	36	34	28	36	34	28	37	
grafo834	11	14	4	10	70	4	7	70	4	7	19	4	7	19	10	7	17	
grafo838	16	18	3	15	90	3	12	90	8	12	21	8	12	21	13	12	21	
grafo839	14	18	5	14	90	5	12	90	10	13	23	10	13	23	13	13	23	
grafo840	17	21	5	16	105	5	13	105	10	13	26	10	13	26	12	13	26	
grafo841	14	16	3	13	80	3	13	80	3	13	19	3	13	19	18	18	18	
grafo845	16	19	4	15	95	4	15	95	8	15	23	8	15	23	20	15	23	
grafo848	13	16	4	12	80	4	12	80	4	12	20	4	12	20	13	13	20	
grafo849	11	13	3	10	65	2	8	65	2	8	14	2	8	14	9	8	14	
grafo850	12	14	3	11	70	3	6	70	5	6	17	5	6	17	7	6	17	
grafo851	17	21	5	16	105	5	11	105	5	11	27	5	11	27	24	11	26	
grafo853	16	18	3	15	90	3	13	90	9	13	21	9	13	21	15	13	21	
grafo854	12	14	3	11	70	3	9	70	7	9	18	7	9	18	17	9	17	
grafo855	15	19	5	14	95	5	13	95	5	13	24	5	13	24	20	13	24	
grafo857	11	13	3	10	65	3	10	65	3	10	16	3	10	16	10	10	16	
grafo863	18	22	5	17	110	5	12	110	5	12	29	5	12	29	23	15	27	
grafo867	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo868	12	14	3	11	70	3	10	70	3	10	17	3	10	17	10	10	17	
grafo877	16	19	4	15	95	4	12	95	4	12	24	4	12	24	21	12	23	
grafo880	17	20	4	16	100	4	11	100	4	11	24	4	11	24	19	11	22	
grafo881	10	10	1	9	50	1	9	50	2	9	11	2	9	11	9	9	11	
grafo882	26	31	6	25	155	5	12	155	5	12	37	5	12	37	19	12	35	
grafo886	15	18	4	14	90	4	12	90	4	12	22	4	12	22	12	12	21	
grafo887	13	17	5	12	85	5	12	85	-1	-1	-1	6	12	22	14	14	21	
grafo888	12	14	3	11	70	3	7	70	3	7	16	3	7	16	8	7	16	
grafo891	13	14	2	12	70	2	12	70	5	12	15	5	12	15	16	12	15	
grafo895	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo897	12	14	3	11	70	3	10	70	3	10	16	3	10	16	12	12	16	
grafo900	11	14	4	10	70	3	9	70	4	9	17	4	9	17	11	9	17	
grafo903	17	22	6	16	110	6	16	110	-1	-1	-1	14	16	28	24	16	27	
grafo906	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo908	12	15	4	11	75	4	9	75	-1	-1	-1	5	9	20	10	10	19	
grafo912	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo913	15	19	5	14	95	5	11	95	5	11	25	5	11	25	17	11	24	
grafo918	24	29	6	23	145	6	16	145	6	16	36	6	16	36	27	16	33	
grafo927	11	12	2	10	60	2	8	60	2	8	14	2	8	14	8	8	14	
grafo931	13	16	4	12	80	4	12	80	7	12	20	7	12	20	16	12	20	
grafo936	12	14	3	11	70	3	10	70	3	10	16	3	10	16	12	12	16	
grafo937	11	12	2	10	60	2	10	60	2	10	14	2	10	14	10	10	14	
grafo939	15	18	4	14	90	4	12	90	9	12	22	9	12	22	15	12	22	
grafo940	20	25	6	19	125	6	17	125	-1	-1	-1	17	18	31	24	17	32	
grafo944	14	16	3	13	80	3	10	80	3	10	19	3	10	19	13	10	19	
grafo949	10	12	3	10	60	3	8	60	-1	-1	-1	4	9	15	6	9	15	
grafo953	18	21	4	18	105	4	12	105	18	17	25	18	17	25	20	19	25	
grafo954	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo955	13	14	2	12	70	2	11	70	2	11	16	2	11	16	11	11	16	
grafo956	14	18	5	13	90	5	11	90	7	11	22	7	11	22	14	11	22	
grafo957	12	12	1	11	60	1	11	60	2	11	13	2	11	13	11	11	13	
grafo965	15	18	4	15	90	4	8	90	4	8	23	4	8	23	6	9	23	
grafo966	13	15	3	12	75	3	12	75	6	12	18	6	12	18	16	12	18	
grafo967	16	19	4	15	95	4	12	95	4	12	24	4	12	24	21	12	23	
grafo969	12	15	4	12	75	4	9	75	7	10	17	7	10	17	7	10	17	
grafo972	18	21	4	17	105	4	12	105	4	12	26	4	12	26	22	12	25	
grafo973	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo974	14	16	3	13	80	3	13	80	3	13	19	3	13	19	13	13	19	
grafo977	19	23	5	19	115	5	12	115	-1	-1	-1	9	15	30	15	17	29	
grafo980	20	23	4	20	115	4	13	115	9	14	29	9	14	29	16	17	27	
grafo982	15	18	4	14	90	4	13	90	9	13	21	9	13	21	19	13	21	
grafo985	15	19	5	14	95	5	11	95	7	11	25	7	11	25	19	11	25	
grafo988	11	13	3	10	65	3	10	65	3	10	15	3	10	15	11	10	15	
grafo989	13	16	4	12	80	4	12	80	-1	-1	-1	10	12	20	20	17	19	
grafo990	13	15	3	12	75	3	11	75	8	11	18	8	11	18	9	11	18	
grafo9902	32	37	6	31	185	6	24	185	6	24	45	6	24	45	25	24	44	
grafo991	13	16	4	12	80	4	12	80	6	12	19	6	12	19	16	12	19	
grafo9926	33	39	7	32	195	7	23	195	7	23	48	7	23	48	26	23	47	
grafo9934	34	42	9	34	210	8	23	210	46	44	50	46	44	50	49	44	50	
grafo994	13	18	6	12	90	6	10	90	-1	-1	-1	10	10	25	17	10	24	
grafo9947	32	41	10	32	205	7	28	205	19	30	48	19	30	48	32	36	48	
grafo995	18	21	4	17	105	4	14	105	7	14	26	7	14	26	19	14	25	
grafo9951	33	39	7	32	195	7	21	195	-1	-1	-1	19	21	46	43	21	44	
grafo996	11	14	4	10	70	4	8	70	7	8	17	7	8	17	9	8	17	
grafo997	11	13	3	10	65	3	9	65	7	9	16	7	9	16	9	9	16	
grafo998	16	19	4	15	95	4	8	95	4	8	23	4	8	23	10	8	21	
grafo999	13	15	3	12	75	3	12	75	3	12	18	3	12	18	12	12	18	
grafo9990	31	37	7	30	185	7	26	185	19	26	46	19	26	46	36	26	46	
